HP_TOT,OP_TOT,SWLS_TOT,SVS_TOT,MIL_P_TOT,BIT_TOT,DASS_A,DASS_D
42,24,35,49,17,45,0,0
31,14,21,28,18,30,7,5
39,27,30,23,32,36,1,3
29,22,15,42,18,44,0,0
40,34,17,25,31,34,15,19
34,18,5,37,30,30,4,4
42,19,32,46,32,49,4,1
33,14,20,36,19,37,0,0
19,9,22,43,31,49,1,2
37,10,27,44,34,49,0,0
30,26,29,30,27,42,0,3
40,34,23,34,30,40,9,8
36,6,8,29,26,37,0,1
33,21,34,46,35,49,3,1
23,18,23,39,26,40,5,7
35,15,30,43,26,42,3,1
39,36,17,26,23,34,18,11
19,10,22,38,10,30,1,6
28,18,21,23,21,33,10,13
27,12,27,34,34,39,3,8
35,12,31,36,35,47,0,0
29,9,29,31,26,41,0,2
21,16,29,35,29,41,0,0
25,8,22,33,21,46,5,4
33,20,9,19,11,24,15,13
31,21,29,36,28,44,1,1
24,14,19,28,15,35,0,4
37,31,25,34,29,44,2,1
26,9,11,28,18,33,16,11
36,32,18,11,8,42,18,16
34,9,34,33,31,46,3,3
32,16,21,35,24,42,7,12
33,33,21,27,22,34,7,9
36,18,25,26,33,45,4,5
27,13,21,38,35,48,4,4
37,20,27,35,23,38,11,7
27,17,25,31,24,44,7,2
32,9,12,39,32,44,2,0
26,18,12,19,19,31,13,18
31,6,23,27,23,41,4,7
30,23,30,39,28,46,2,2
30,21,19,37,22,41,2,1
34,19,30,40,25,38,0,1
35,9,31,35,26,41,0,1
32,10,23,38,29,43,3,2
27,15,13,24,16,27,6,10
29,15,23,18,23,37,5,4
21,10,16,34,20,43,6,0
30,8,27,38,26,46,0,0
19,12,21,32,18,37,0,0
33,11,7,12,18,20,0,2
39,36,17,33,15,40,2,4
28,14,15,26,9,29,3,6
25,10,30,46,28,43,1,2
27,6,16,42,24,44,0,1
32,19,25,36,23,39,1,0
28,19,21,30,18,34,8,10
28,14,25,20,16,35,15,8
18,16,32,38,15,40,2,2
24,23,22,39,28,42,5,9
19,15,8,24,19,25,5,7
28,13,13,19,19,36,1,8
42,28,30,30,19,40,4,1
27,28,17,27,7,28,8,18
42,38,12,9,5,16,8,20
11,24,26,22,24,42,9,11
24,15,24,39,19,39,0,1
24,6,13,21,13,27,0,7
30,6,11,11,21,26,5,4
26,9,35,38,33,50,2,0
31,10,9,11,10,22,2,19
38,29,20,31,23,36,3,15
33,20,29,29,26,47,0,0
39,26,5,17,21,17,2,18
30,17,15,13,22,27,0,14
22,6,26,35,28,45,0,2
37,21,10,23,15,28,3,12
35,24,27,38,31,40,2,0
22,21,19,29,27,28,1,6
25,25,18,42,16,36,1,4
24,11,19,33,27,43,2,2
25,23,20,23,34,46,10,10
25,23,22,29,20,35,12,10
30,12,14,18,21,28,2,14
24,20,31,29,27,39,0,1
19,14,20,36,26,38,3,1
27,19,21,32,20,41,4,4
31,31,25,35,23,39,1,1
24,10,15,25,21,39,1,3
30,14,28,31,30,42,1,3
37,16,22,42,22,44,14,8
34,34,25,33,23,34,11,13
22,16,19,19,12,32,4,10
26,9,16,23,12,27,8,15
23,10,18,24,9,27,8,13
31,15,26,30,25,39,2,3
27,9,13,24,26,33,5,7
27,8,11,19,11,25,4,21
24,18,26,38,24,44,0,2
31,24,23,41,31,41,13,4
25,26,28,30,21,36,13,10
15,24,31,40,26,45,5,1
33,20,24,32,29,32,4,3
28,23,30,33,30,36,7,4
24,22,10,16,20,24,5,15
26,21,16,28,18,37,9,8
42,34,20,33,35,42,3,1
25,12,14,14,12,21,6,18
33,6,11,14,12,19,6,6
30,33,27,36,28,39,10,7
32,14,20,26,21,35,0,4
36,19,25,38,32,42,2,6
26,19,31,40,33,45,0,1
32,28,12,14,21,23,11,13
26,9,25,32,31,45,0,0
28,14,16,18,14,26,5,7
21,20,27,36,19,39,9,9
18,18,30,42,31,42,3,1
19,12,13,20,12,25,4,6
21,19,10,14,15,22,10,20
26,24,20,24,19,23,4,4
30,28,24,28,21,40,11,7
29,16,28,37,23,43,3,4
26,7,15,22,19,30,3,12
22,14,24,37,5,21,17,11
31,14,18,27,18,34,1,1
22,7,25,23,20,34,0,3
17,14,23,25,14,35,1,7
21,10,7,12,5,12,2,21
28,8,21,32,25,37,0,0
26,20,5,23,12,21,0,10
23,15,10,16,10,20,19,20
14,12,21,30,22,37,0,0
24,28,12,21,13,22,5,15
25,16,19,17,15,26,10,14
24,24,19,28,19,33,7,7
26,17,16,22,17,25,9,13
32,20,21,32,21,37,1,1
26,25,25,33,21,33,0,0
21,14,28,37,27,44,2,0
20,7,14,31,17,33,0,3
24,15,24,22,20,38,0,0
30,18,10,12,10,19,8,20
28,26,18,30,19,39,4,9
33,30,16,43,25,39,1,3
25,27,19,30,23,37,14,11
20,20,14,19,7,28,2,11
28,15,12,26,16,25,6,9
25,9,9,23,11,32,0,4
29,19,14,35,26,37,6,7
16,8,24,28,25,35,0,2
20,6,6,8,6,19,9,21
27,20,19,26,16,40,4,5
29,13,15,32,21,35,7,1
16,14,15,34,12,30,4,5
29,21,24,21,23,36,1,7
25,12,10,15,10,19,3,13
17,12,15,16,9,16,3,13
30,24,13,24,13,22,3,9
11,16,26,22,11,33,3,6
31,25,5,8,13,11,11,19
28,15,16,21,19,31,1,1
25,20,19,29,22,27,16,13
28,18,28,43,29,41,2,3
21,6,18,34,27,36,1,2
25,9,12,21,11,24,2,13
20,16,17,26,16,31,1,2
24,14,16,25,30,33,5,11
26,22,13,9,8,19,8,15
26,19,5,7,6,16,8,20
34,13,8,11,5,15,6,20
25,20,17,25,28,33,6,10
25,14,12,18,14,24,5,12
24,14,5,13,7,10,12,20
20,20,10,28,21,30,8,6
19,18,5,7,5,10,10,21
25,23,13,15,10,19,13,19
