id,age,GoldMSI,DFS_Total,trait_anxiety,openness
1,24,5.61,30.5,54,5.5
2,30,5.44,29.25,66,5
3,25,5.06,27.5,58,4.5
4,22,5.56,33,44,6
5,18,4,31,52,6.5
6,20,6,34.25,45,5.5
7,23,5.33,30.25,41,6.5
8,23,6.11,34.5,36,6.5
9,20,4.17,25,52,5.5
10,25,5.83,29.75,47,6
11,22,5.89,29.5,64,6
12,28,5.78,30.5,51,4
13,23,6.28,38,54,6
14,27,5.22,30.25,41,4.5
15,22,5.44,35.25,25,5.5
16,20,5,32.75,43,5.5
17,30,5.22,29.5,31,6
18,28,6.39,28.5,44,6.5
19,43,5,34,54,4.5
20,31,5.28,33.5,56,5.5
21,28,6,28.75,54,7
22,37,6.28,35.5,38,6.5
23,18,6.06,33,31,7
24,21,5.72,31.5,49,5.5
25,38,4.89,28,48,4.5
26,27,5.5,30.25,61,4.5
27,23,5.5,29,57,5.5
28,21,5.67,29,43,6.5
29,25,4.83,42.75,53,7
30,27,5.39,35.5,33,6.5
31,21,5.61,33.5,44,6
32,26,4.89,35.5,37,7
33,40,5.28,31.75,43,6
34,23,4.61,36,62,6.5
35,26,4.78,34.25,48,6
36,20,5.61,29.25,61,3
37,31,6,38,38,6.5
38,29,4.94,35.25,44,5.5
39,24,5.61,31,55,7
40,22,4.83,31.25,54,5
41,22,6,34.5,47,6
42,24,6,25.25,40,6.5
43,25,5.5,35.75,48,5
44,21,5.44,37.5,52,6.5
45,21,4.72,33.25,42,6
46,26,6.72,26.75,61,5.5
47,20,5.78,34,60,5.5
48,27,4.56,26.75,64,5.5
49,22,4.5,29.75,68,6.5
50,28,6.06,31.25,54,6.5
51,23,4.39,33.5,52,3.5
52,24,5.56,34.75,60,4
53,21,5.5,34.75,51,5
54,23,5.28,30.5,55,7
55,24,5.06,28,56,6.5
56,20,4.89,33.75,56,4.5
57,27,5.78,43.5,30,5.5
58,20,6.06,32.75,55,6.5
59,21,5.89,35.25,34,6
60,43,5.11,29,50,5
61,27,4.44,26,43,4.5
62,20,5.83,38.5,54,5
63,23,5.28,39.5,45,7
64,23,4.67,32.25,25,5
65,34,4.56,34.5,40,5.5
66,23,5.06,30.25,57,5.5
67,23,6.22,29.75,54,6.5
68,45,5,30,53,6.5
69,24,5.94,37.75,53,7
70,27,5.5,30.75,41,6
71,28,4.39,23.25,72,6
72,29,4.94,28.75,46,7
73,34,6.17,35,33,6.5
74,27,3.72,29.25,51,6
75,19,5.67,24,68,6.5
76,28,5.61,30,52,6
77,33,5,30.75,58,5
78,22,4.72,31,42,6
79,34,5.61,26.5,55,6
80,25,5.83,30.75,42,7
81,21,5.78,34.75,44,7
82,19,4.89,28.5,47,5
83,46,4.94,35.75,34,6.5
84,23,4.78,31.5,41,6.5
85,27,5.56,32.5,40,6
86,22,4.83,29,45,6.5
87,25,4.89,29.75,51,6.5
88,19,5.28,29.5,44,4.5
89,29,5.44,36.75,58,6
90,28,5.5,31.5,49,6
91,22,6.5,35.75,69,6.5
92,28,4.56,29.5,34,5
93,25,4.78,24.92,53,5.5
94,31,4.5,31.5,52,6
95,30,5.72,34.75,50,6
96,31,5.39,32,41,5.5
97,18,5.67,37.5,31,6
98,52,4.67,31.5,42,5.5
99,24,5.83,29.08,62,7
100,19,5.39,30.5,38,5
101,20,5.33,29.75,45,5.5
102,29,5.78,35.75,53,6
103,18,5.61,33.5,35,6.5
104,22,6.72,33.75,56,6.5
105,19,5.83,35.5,45,6
106,20,5.17,32.5,31,4.5
107,25,5.78,35.5,34,6
108,21,5.72,34.75,39,6.5
109,22,5.39,26.25,63,6
110,39,5.06,35.5,57,6
111,28,5.33,28,54,6.5
112,39,6.17,35.75,53,3.5
113,25,4.06,36.5,36,6.5
114,21,6.67,26.75,52,6.5
115,25,5,28.5,52,6.5
116,22,5.28,31.75,35,5.5
117,38,5.44,29.5,46,6
118,20,6.39,41.75,38,6
119,30,5.33,29,62,5
120,26,4.67,32.75,50,4
121,31,5.22,30,46,5
122,27,5.33,31.5,35,6.5
123,30,5.56,28.75,41,5
124,26,4.33,30,41,6
125,29,4.78,33.75,54,6.5
126,20,4.83,25.75,58,6
127,27,5.56,34,57,6.5
128,21,5.44,32.5,59,5
129,23,5.56,28.5,59,5
130,29,4.94,33.5,49,5.5
131,31,5.22,28.75,38,7
132,19,6,37.25,43,5.5
133,28,4.5,26.5,45,5.5
134,21,5.83,32.25,56,6.5
135,24,5.39,33.75,51,6
136,42,6.06,30,38,5.5
137,29,6.39,32.75,57,6
138,19,4.78,29,62,5.5
139,23,5.61,37.5,34,5
140,23,5.44,34.5,41,4.5
141,30,6,36,45,7
142,34,5.33,31.5,55,6.5
143,42,5.28,39,61,7
144,24,5.72,33,37,5.5
145,33,5.83,28.25,51,6.5
146,25,5.72,29.5,52,6.5
147,22,4.56,33.25,57,5.5
148,26,5.83,37,61,6
149,29,5.06,33.75,36,5.5
150,22,5.61,29.75,42,6.5
151,26,4.94,24,44,4.5
152,30,6.17,31.25,54,7
153,21,5.78,30.25,49,6
154,20,4.61,33.75,38,5.5
155,27,4.44,32.25,50,5
156,24,4.94,33.25,36,6.5
157,29,5.11,29.75,58,5.5
158,23,6,38,30,7
159,36,5.44,31.25,51,6
160,22,5.17,25.25,68,4.5
161,27,6.22,28.75,58,7
162,25,4.56,36.25,54,5.5
163,32,5.33,28.75,56,5
164,19,5.44,33.25,55,6.5
165,20,5.72,35,44,6.5
166,25,4.67,32.75,50,6
167,25,5.39,33,38,6.5
168,18,5.17,31.5,26,6.5
169,25,4.5,30.5,63,5.5
170,23,5.5,29.75,46,5
171,33,4.06,25,45,6
172,36,4.89,31,38,5.5
173,21,6.17,33.5,52,6.5
174,26,4.67,30.5,45,6.5
175,22,6,35.25,57,7
176,26,5.06,31,39,5.5
177,31,6.11,34.75,56,7
178,31,5.22,32.5,38,6
179,22,5.11,30,47,6.5
180,45,6.11,34.5,39,6
181,25,4.78,32.5,45,6
182,21,6.78,40,61,7
183,34,5.78,34.25,34,4.5
184,30,4.94,37.75,32,6
185,24,5.28,27.5,64,3
186,20,6.28,40.75,37,5.5
187,25,5.11,29.25,53,6
188,24,5.33,30.25,52,6.5
189,61,4.89,33.5,59,7
190,33,5.44,31.5,53,6.5
191,19,5.39,29.5,53,6.5
192,28,5.11,31.5,49,7
193,25,5.39,30,54,6
194,23,5.39,34,49,6.5
195,22,5.11,34.25,47,5.5
196,21,6.67,33.75,59,6.5
197,19,5,27,62,4.5
198,27,4.5,26.5,50,6.5
199,19,4.89,29.25,51,5
200,21,4.56,26.92,40,6
201,27,5.83,35.5,48,4.5
