id,instrument,sex
1,clarinet,M
2,clarinet,M
3,clarinet,M
4,clarinet,F
5,clarinet,F
6,clarinet,M
7,clarinet,M
8,clarinet,F
9,clarinet,F
10,drums,F
11,drums,F
12,clarinet,F
13,clarinet,M
14,clarinet,M
15,clarinet,M
16,drums,M
17,clarinet,F
18,clarinet,M
19,drums,M
20,clarinet,M
21,clarinet,M
22,clarinet,F
23,clarinet,F
24,clarinet,M
25,clarinet,F
26,clarinet,F
27,clarinet,F
28,clarinet,F
29,clarinet,M
30,drums,F
31,clarinet,M
32,clarinet,M
33,clarinet,M
34,clarinet,M
35,clarinet,M
36,clarinet,M
37,clarinet,M
38,drums,M
39,clarinet,F
40,clarinet,F
41,drums,M
42,clarinet,F
43,clarinet,M
44,clarinet,M
45,drums,M
46,clarinet,M
47,clarinet,M
48,clarinet,F
49,drums,F
50,clarinet,M
51,clarinet,M
52,clarinet,F
53,drums,M
54,clarinet,F
55,clarinet,F
56,clarinet,F
57,clarinet,M
58,drums,F
59,clarinet,M
60,drums,M
61,clarinet,F
62,clarinet,M
63,clarinet,F
64,clarinet,M
65,drums,M
66,clarinet,M
67,clarinet,F
68,clarinet,F
69,clarinet,M
70,clarinet,F
71,clarinet,M
72,drums,M
73,drums,M
74,clarinet,F
75,clarinet,F
76,clarinet,F
77,drums,M
78,clarinet,F
79,clarinet,M
80,drums,F
81,clarinet,M
82,clarinet,F
83,clarinet,M
84,clarinet,M
85,clarinet,F
86,clarinet,F
87,drums,M
88,drums,M
89,clarinet,F
90,clarinet,F
91,clarinet,F
92,clarinet,M
93,clarinet,F
94,clarinet,F
95,clarinet,F
96,clarinet,F
97,clarinet,F
98,clarinet,F
99,clarinet,F
100,clarinet,M
101,clarinet,M
102,clarinet,M
103,clarinet,F
104,drums,M
105,clarinet,F
106,drums,M
107,clarinet,M
108,clarinet,M
109,clarinet,F
110,clarinet,M
111,clarinet,F
112,clarinet,M
113,clarinet,F
114,clarinet,F
115,clarinet,M
116,clarinet,F
117,clarinet,M
118,clarinet,F
119,clarinet,F
120,drums,M
121,drums,M
122,clarinet,M
