"id","before","after"
1,"Yes","Yes"
2,"Yes","Yes"
3,"No","No"
4,"No","Yes"
5,"Yes","No"
6,"Yes","No"
7,"No","No"
8,"No","Yes"
9,"Yes","Yes"
10,"No","Yes"
11,"Yes","Yes"
12,"Yes","No"
13,"No","Yes"
14,"No","No"
15,"No","No"
16,"Yes","No"
17,"Yes","Yes"
18,"No","No"
19,"No","No"
20,"No","No"
21,"No","Yes"
22,"Yes","No"
23,"No","No"
24,"No","Yes"
25,"No","Yes"
26,"Yes","No"
27,"No","Yes"
28,"Yes","No"
29,"No","Yes"
30,"No","Yes"
31,"No","No"
32,"Yes","Yes"
33,"No","No"
34,"No","No"
35,"No","Yes"
36,"Yes","Yes"
37,"No","Yes"
38,"No","Yes"
39,"Yes","Yes"
40,"Yes","Yes"
41,"No","Yes"
42,"No","Yes"
43,"No","Yes"
44,"No","No"
45,"Yes","Yes"
46,"No","Yes"
47,"Yes","No"
48,"No","No"
49,"Yes","No"
50,"Yes","No"
51,"No","Yes"
52,"No","Yes"
53,"No","Yes"
54,"No","No"
55,"Yes","No"
56,"No","Yes"
57,"No","No"
58,"No","No"
59,"Yes","Yes"
60,"No","Yes"
61,"No","Yes"
62,"Yes","Yes"
63,"No","Yes"
64,"Yes","Yes"
65,"No","Yes"
66,"No","Yes"
67,"No","No"
68,"No","No"
69,"No","Yes"
70,"No","Yes"
,,
